,AGE,SEX,DRINKING,DRUGS,ALC_DET,ALC_STATUS,DRUG_DET,DSTATUS,INJ_SEV,PER_TYP,DAY_WEEK,HOUR_x,WEATHER,LGT_COND,STATE_x
84,24,2,0,0,9,0,8,0,4,1,6,19,1,2,1
85,64,1,0,0,9,0,8,0,0,1,6,19,1,2,1
86,59,2,8,8,9,0,8,0,0,2,6,19,1,2,1
87,64,2,0,0,9,2,8,2,4,5,5,19,1,3,1
88,32,2,9,9,9,0,8,0,0,1,5,19,1,3,1
89,35,1,1,9,5,2,8,2,4,1,4,0,10,2,1
90,70,1,9,9,9,2,8,2,2,1,2,8,1,1,1
91,71,2,8,8,9,2,8,2,4,2,2,8,1,1,1
92,24,1,0,0,9,2,8,2,0,1,2,8,1,1,1
93,57,1,9,9,9,0,8,0,4,5,3,18,1,3,1
94,37,1,0,0,2,2,8,0,0,1,3,18,1,3,1
95,22,1,9,9,9,0,8,0,3,1,7,1,1,2,1
96,18,1,8,8,9,2,8,2,4,2,7,1,1,2,1
97,47,1,0,0,9,2,8,2,1,1,7,16,2,1,1
98,33,1,8,8,9,0,8,0,0,2,7,16,2,1,1
99,55,1,0,0,9,2,8,2,4,1,7,16,2,1,1
100,56,2,8,8,9,0,8,0,3,2,7,16,2,1,1
101,30,1,8,8,9,2,8,2,4,5,7,23,2,3,1
102,62,1,0,0,9,0,8,0,0,1,7,23,2,3,1
103,59,2,8,8,9,0,8,0,0,2,7,23,2,3,1
104,30,1,1,9,9,2,8,2,4,1,1,2,2,2,1
105,4,2,8,8,9,2,8,2,4,2,1,2,2,2,1
106,8,1,8,8,9,2,8,2,4,2,1,2,2,2,1
107,36,2,9,9,9,2,8,2,3,1,1,13,1,1,1
108,81,2,9,9,9,2,8,2,4,1,1,13,1,1,1
109,61,1,0,0,9,2,8,2,4,6,1,14,1,1,1
110,18,1,0,0,9,2,8,2,0,1,1,14,1,1,1
111,15,2,8,8,9,0,8,0,0,2,1,14,1,1,1
112,52,1,0,9,9,2,8,2,3,1,3,7,1,1,1
113,42,1,0,9,9,2,8,2,4,1,3,7,1,1,1
114,33,2,0,0,9,0,8,0,0,1,3,7,1,1,1
115,51,1,0,0,9,0,8,0,4,1,3,13,1,1,1
116,62,1,0,0,9,0,8,0,0,1,3,13,1,1,1
117,29,1,9,9,9,2,8,2,0,1,4,16,1,1,1
118,56,1,8,8,9,0,8,0,2,2,4,16,1,1,1
119,66,2,0,0,9,0,8,0,4,1,4,16,1,1,1
120,62,1,9,9,9,2,8,2,4,1,4,16,1,5,1
121,56,1,0,0,9,2,8,2,0,1,4,16,1,5,1
122,69,1,0,0,9,0,8,0,0,1,4,16,1,5,1
123,39,1,9,9,9,2,8,2,4,1,5,17,10,2,1
124,36,1,0,0,9,0,8,0,3,1,5,17,10,2,1
125,60,2,0,0,9,0,8,0,3,1,5,17,10,2,1
126,64,2,8,8,9,0,8,0,4,2,5,17,10,2,1
127,53,2,0,0,9,0,8,0,2,1,5,17,10,2,1
128,32,2,8,8,9,0,8,0,2,2,5,17,10,2,1
129,46,1,0,0,9,0,8,0,0,1,5,17,10,2,1
130,29,1,1,9,5,2,8,2,3,1,1,0,10,2,1
131,23,1,8,8,9,2,8,2,4,2,1,0,10,2,1
132,43,1,0,0,9,2,8,2,4,1,7,11,10,1,1
133,31,1,0,0,9,0,8,0,3,1,7,11,10,1,1
134,85,2,8,8,9,0,8,0,4,1,2,14,10,1,1
135,55,1,1,0,5,2,8,2,4,1,2,22,5,2,1
136,31,2,9,9,9,2,8,2,4,1,4,20,1,2,1
137,998,1,8,8,9,0,8,0,3,2,4,20,1,2,1
138,998,1,8,8,9,0,8,0,2,2,4,20,1,2,1
139,16,1,8,8,9,0,8,0,3,2,4,20,1,2,1
140,75,1,9,9,9,2,8,2,3,1,5,14,1,1,1
141,24,2,8,8,9,2,8,2,4,2,5,14,1,1,1
142,24,2,9,9,9,2,8,2,3,1,5,14,1,1,1
143,60,1,9,9,9,2,8,2,4,1,1,15,1,1,1
144,64,1,9,9,9,2,8,2,4,1,6,23,2,2,1
145,27,1,9,0,9,2,8,2,4,1,7,0,1,2,1
146,50,1,0,1,9,0,8,0,4,1,7,11,10,1,1
147,24,1,1,0,5,0,8,0,4,1,7,21,1,3,1
148,16,1,8,8,9,0,8,0,2,2,7,21,1,3,1
149,21,1,9,9,9,2,8,2,4,1,1,23,1,2,1
150,52,1,0,0,9,2,8,2,0,1,2,7,1,1,1
151,69,1,0,0,9,0,8,0,4,1,2,7,1,1,1
152,56,1,0,0,9,0,8,0,3,1,2,17,1,2,1
153,35,2,0,0,9,0,8,0,2,1,2,17,1,2,1
154,50,2,0,0,9,2,8,2,4,1,2,17,1,2,1
155,63,1,1,8,9,0,8,0,4,5,2,0,1,3,1
156,55,1,0,0,1,2,8,0,0,1,2,0,1,3,1
157,68,2,9,9,9,0,8,0,4,5,2,18,1,2,1
158,42,1,0,0,9,2,8,2,0,1,2,18,1,2,1
159,85,1,0,0,9,0,8,0,4,1,3,9,10,1,1
160,83,2,8,8,9,0,8,0,4,2,3,9,10,1,1
161,75,1,0,0,9,0,8,0,3,1,3,9,10,1,1
162,26,1,8,8,9,0,8,0,0,2,3,9,10,1,1
163,40,1,9,9,9,2,8,2,3,1,3,11,10,1,1
164,23,1,8,8,9,0,8,0,4,2,3,11,10,1,1
165,33,1,8,8,9,0,8,0,4,2,3,11,10,1,1
166,30,1,0,0,9,2,8,2,2,1,3,11,10,1,1
167,68,2,0,0,9,0,8,0,4,5,6,1,2,3,1
168,29,1,0,0,9,2,8,2,0,1,6,1,2,3,1
169,33,2,0,0,9,0,8,0,0,1,6,12,1,1,1
170,82,1,0,0,9,2,8,2,4,1,6,12,1,1,1
171,80,2,8,8,9,0,8,0,4,2,6,12,1,1,1
172,42,2,0,0,9,0,8,0,0,1,6,12,1,1,1
173,999,1,8,8,9,0,8,0,0,2,6,12,1,1,1
174,999,2,8,8,9,0,8,0,0,2,6,12,1,1,1
175,999,1,8,8,9,0,8,0,0,2,6,12,1,1,1
176,46,2,9,9,9,2,8,2,4,1,6,14,1,1,1
177,69,1,9,9,9,0,8,0,4,1,6,14,1,1,1
178,67,2,8,8,9,0,8,0,3,2,6,14,1,1,1
179,24,1,0,0,9,0,8,0,4,1,6,17,1,1,1
180,48,1,0,0,9,0,8,0,4,1,6,17,1,1,1
181,26,1,1,9,9,2,8,2,4,1,1,7,1,1,1
182,26,1,8,8,9,0,8,0,3,2,1,7,1,1,1
183,34,1,8,8,9,0,8,0,4,1,1,17,1,2,1
184,32,1,0,0,9,0,8,0,4,1,2,5,2,2,1
185,50,1,0,0,9,0,8,0,3,1,2,5,2,2,1
186,43,2,0,0,9,0,8,0,4,1,2,14,1,1,1
187,57,1,0,0,9,2,8,2,1,1,2,14,1,1,1
188,20,1,0,0,9,2,8,2,3,1,3,18,1,2,1
189,58,1,0,0,9,0,8,0,4,1,3,18,1,2,1
190,39,1,8,8,9,0,8,0,4,2,3,18,1,2,1
191,84,1,0,0,9,0,8,0,4,1,3,17,2,2,1
192,35,1,0,0,9,0,8,0,0,1,3,17,2,2,1
193,12,2,8,8,9,0,8,0,0,2,3,17,2,2,1
194,9,2,8,8,9,0,8,0,0,2,3,17,2,2,1
195,21,1,9,9,9,2,8,2,4,1,4,19,10,3,1
196,26,1,0,0,9,0,8,0,1,1,4,19,10,3,1
197,63,2,0,0,9,2,8,2,3,1,4,19,2,2,1
198,58,2,8,8,9,2,8,2,4,2,4,19,2,2,1
199,25,1,0,0,9,0,8,0,3,1,4,19,2,2,1
200,32,1,1,9,5,2,8,2,4,1,5,4,2,2,1
201,25,2,1,1,9,2,7,2,4,1,6,3,1,2,1
202,69,1,0,0,9,2,8,2,4,1,6,7,1,1,1
203,83,1,0,0,9,0,8,0,4,1,6,11,1,1,1
204,77,2,8,8,9,0,8,0,3,2,6,11,1,1,1
205,19,1,0,0,9,2,8,2,2,1,6,11,1,1,1
206,19,2,8,8,9,0,8,0,2,2,6,11,1,1,1
207,0,2,8,8,9,0,8,0,1,2,6,11,1,1,1
208,2,1,8,8,9,0,8,0,1,2,6,11,1,1,1
209,73,1,8,8,9,0,8,0,4,1,7,6,1,4,1
210,52,2,8,8,9,0,8,0,4,1,2,13,99,9,1
211,32,1,1,9,9,2,8,2,4,1,5,0,10,3,1
212,42,2,1,9,9,2,8,2,4,5,5,2,2,2,1
213,29,2,0,0,9,0,8,0,0,1,5,2,2,2,1
214,18,2,0,0,9,2,8,2,4,1,5,15,2,1,1
215,65,2,0,0,9,2,8,2,3,1,5,15,2,1,1
216,23,1,0,0,9,2,8,2,0,1,6,14,1,1,1
217,57,2,0,0,9,2,8,2,4,1,6,14,1,1,1
218,68,2,8,8,9,2,8,2,4,2,6,14,1,1,1
219,50,1,0,0,9,0,8,0,0,1,6,14,1,1,1
220,31,1,9,9,9,0,8,0,4,1,7,15,1,1,1
221,52,2,8,8,9,0,8,0,3,2,7,15,1,1,1
222,15,2,0,0,9,2,8,2,1,1,7,15,1,1,1
223,32,1,0,0,9,0,8,0,1,1,7,16,1,1,1
224,61,2,0,0,9,0,8,0,3,1,7,16,1,1,1
225,39,1,8,8,9,0,8,0,4,2,7,16,1,1,1
226,73,2,9,9,9,0,8,0,4,1,1,11,10,1,1
227,54,1,9,9,9,0,8,0,3,1,1,12,10,1,1
228,54,1,8,8,9,0,8,0,4,2,1,12,10,1,1
229,31,1,9,9,9,2,8,2,4,1,2,16,2,1,1
230,56,1,9,9,9,2,8,2,0,1,2,16,2,1,1
231,20,1,9,9,9,2,8,2,4,1,2,16,2,1,1
232,38,2,0,0,9,0,8,0,2,1,2,16,2,1,1
233,27,2,0,0,9,0,8,0,1,1,2,16,2,1,1
234,19,2,0,0,9,2,8,2,4,1,2,11,2,1,1
235,20,1,8,8,9,2,8,2,4,2,2,11,2,1,1
236,61,1,0,0,9,0,8,0,0,1,2,11,2,1,1
237,65,1,9,9,9,2,8,2,4,1,4,12,10,1,1
238,50,1,0,0,9,0,8,0,0,1,4,12,10,1,1
239,39,1,0,0,9,2,8,2,4,1,5,4,1,1,1
240,35,1,0,0,9,2,8,2,0,1,5,4,1,1,1
241,36,1,9,9,9,2,8,2,4,1,6,16,1,1,1
242,34,1,9,9,9,0,8,0,4,1,1,3,1,6,1
243,44,1,9,9,9,2,8,2,4,1,1,0,1,2,1
244,53,2,8,8,9,2,8,2,4,5,1,9,99,1,1
245,999,9,9,9,9,0,8,0,9,1,1,9,99,1,1
246,51,1,9,9,9,2,8,2,4,5,6,19,1,3,1
247,26,1,0,0,9,0,8,0,0,1,6,19,1,3,1
248,19,1,8,8,9,0,8,0,0,2,6,19,1,3,1
249,18,1,8,8,9,0,8,0,0,2,6,19,1,3,1
250,53,1,9,9,9,2,8,2,4,1,2,21,1,2,1
251,36,1,0,0,9,0,8,0,0,1,2,21,1,2,1
252,27,1,9,9,9,2,8,2,1,1,1,6,1,2,1
253,29,2,0,0,9,2,8,2,4,1,1,6,1,2,1
254,27,1,9,9,9,2,8,2,1,1,1,6,1,2,1
255,38,2,0,0,9,2,8,2,1,1,1,6,1,2,1
256,54,2,0,0,9,2,8,2,1,1,1,6,1,2,1
257,65,1,0,0,9,0,8,0,2,1,7,17,1,1,1
258,70,2,8,8,9,0,8,0,4,2,7,17,1,1,1
259,52,2,9,9,9,0,8,0,3,9,5,19,1,3,1
260,36,1,8,8,9,2,8,2,4,9,5,19,1,3,1
261,46,1,9,9,9,2,8,2,4,1,4,23,1,2,1
262,60,1,0,0,9,0,8,0,2,1,4,23,1,2,1
263,62,1,8,8,9,0,8,0,2,2,4,23,1,2,1
264,57,2,8,8,9,0,8,0,4,2,4,23,1,2,1
265,29,1,0,0,9,2,8,2,0,1,2,14,1,1,1
266,63,2,0,0,9,2,8,2,4,1,2,14,1,1,1
267,27,1,0,0,9,2,8,0,3,1,2,1,1,3,1
268,22,2,0,0,9,0,8,0,3,1,2,1,1,3,1
269,20,2,8,8,9,0,8,0,4,2,2,1,1,3,1
270,24,2,8,8,9,0,8,0,4,5,7,2,1,3,1
271,24,1,0,0,9,0,8,0,0,1,7,2,1,3,1
272,46,1,0,0,9,2,8,2,4,1,2,18,1,2,1
273,45,1,0,0,9,0,8,0,0,1,2,18,1,2,1
274,14,1,8,8,9,0,8,0,0,2,2,18,1,2,1
275,28,1,9,9,9,0,8,0,4,1,1,12,10,1,1
276,30,1,0,0,9,2,8,2,0,1,1,12,10,1,1
277,999,1,9,9,9,0,8,0,4,5,3,20,2,3,1
278,37,1,0,0,9,0,8,0,0,1,3,20,2,3,1
279,51,2,0,0,9,0,8,0,4,1,5,15,10,1,1
280,58,1,0,0,9,0,8,0,0,1,5,15,10,1,1
281,71,1,1,0,5,2,8,2,4,1,7,14,1,1,1
282,51,1,0,0,9,2,8,2,1,1,7,14,1,1,1
283,38,1,1,9,9,2,8,2,2,1,2,22,10,3,1
284,37,1,9,9,9,0,8,0,4,1,2,22,10,3,1
285,42,1,9,9,9,2,8,2,4,1,3,14,10,1,1
286,49,1,0,0,9,0,8,0,4,5,6,22,1,3,1
287,45,1,0,0,9,0,8,0,0,1,6,22,1,3,1
288,32,1,9,9,9,2,8,2,4,1,7,6,10,2,1
289,66,1,0,0,9,0,8,0,3,1,7,6,10,2,1
290,45,1,8,8,9,0,8,0,3,2,7,6,10,2,1
291,27,1,9,9,9,2,8,2,2,1,1,1,1,3,1
292,55,2,9,9,9,2,8,2,3,1,1,1,1,3,1
293,60,2,8,8,9,0,8,0,3,2,1,1,1,3,1
294,54,1,8,8,9,2,8,2,4,2,1,1,1,3,1
295,30,2,8,8,9,0,8,0,4,6,2,22,10,3,1
296,43,1,0,0,9,0,8,0,0,1,2,22,10,3,1
297,998,1,8,8,9,0,8,0,0,2,2,22,10,3,1
298,41,2,0,0,9,2,8,2,4,1,2,7,2,1,1
299,54,2,0,0,9,0,8,0,2,1,2,7,2,1,1
300,15,1,8,8,9,0,8,0,1,2,2,7,2,1,1
301,7,2,8,8,9,0,8,0,1,2,2,7,2,1,1
302,13,1,8,8,9,0,8,0,1,2,2,7,2,1,1
303,14,2,8,8,9,0,8,0,1,2,2,7,2,1,1
304,9,1,8,8,9,0,8,0,1,2,2,7,2,1,1
305,13,2,8,8,9,0,8,0,1,2,2,7,2,1,1
306,12,1,8,8,9,0,8,0,1,2,2,7,2,1,1
307,5,1,8,8,9,0,8,0,1,2,2,7,2,1,1
308,15,2,8,8,9,0,8,0,1,2,2,7,2,1,1
309,15,2,8,8,9,0,8,0,1,2,2,7,2,1,1
310,15,2,8,8,9,0,8,0,1,2,2,7,2,1,1
311,13,2,8,8,9,0,8,0,1,2,2,7,2,1,1
312,13,1,8,8,9,0,8,0,1,2,2,7,2,1,1
313,7,1,8,8,9,0,8,0,1,2,2,7,2,1,1
314,12,1,8,8,9,0,8,0,1,2,2,7,2,1,1
315,8,2,8,8,9,0,8,0,1,2,2,7,2,1,1
316,10,1,8,8,9,0,8,0,1,2,2,7,2,1,1
317,9,1,8,8,9,0,8,0,1,2,2,7,2,1,1
318,13,1,8,8,9,0,8,0,1,2,2,7,2,1,1
319,59,1,9,9,9,2,8,2,4,1,2,23,2,2,1
320,43,1,9,9,9,2,8,2,4,1,2,11,2,1,1
321,43,1,0,0,9,2,8,2,4,1,2,12,2,1,1
322,25,2,8,8,9,0,8,0,4,2,2,12,2,1,1
323,72,1,0,0,9,0,8,0,2,1,2,12,2,1,1
324,72,2,8,8,9,0,8,0,2,2,2,12,2,1,1
325,32,1,9,9,9,2,8,2,4,1,3,21,10,3,1
326,60,2,9,9,9,0,8,0,4,1,3,21,10,3,1
327,55,1,8,8,9,0,8,0,3,2,3,21,10,3,1
328,42,1,0,9,9,2,8,2,0,1,3,18,10,3,1
329,46,1,9,9,9,2,8,2,4,1,3,18,10,3,1
330,35,1,9,9,9,2,8,2,4,1,3,15,10,1,1
331,38,2,0,0,9,0,8,0,3,1,3,15,10,1,1
332,53,1,0,0,9,0,8,0,4,5,3,19,10,2,1
333,20,2,0,0,9,0,8,0,0,1,3,19,10,2,1
334,43,1,0,0,9,2,8,2,4,1,3,13,2,1,1
335,60,1,0,0,9,0,8,0,4,1,3,5,2,3,1
336,54,2,0,0,9,0,8,0,2,1,3,5,2,3,1
337,35,2,0,9,9,2,8,2,4,1,4,13,2,1,1
338,26,1,0,1,9,2,3,2,3,1,4,12,2,1,1
339,79,1,0,0,9,0,8,0,4,1,4,12,2,1,1
340,44,1,0,0,9,0,8,0,4,1,5,7,10,1,1
341,17,1,8,8,9,2,8,2,4,1,6,12,1,1,1
342,42,1,9,9,9,2,8,2,4,1,6,16,1,1,1
343,33,2,9,9,9,0,8,0,4,1,6,16,1,1,1
344,63,1,9,9,9,2,8,2,4,1,6,12,1,1,1
345,81,2,0,0,9,0,8,0,4,1,6,17,1,5,1
346,28,1,0,0,9,0,8,0,0,1,6,17,1,5,1
347,18,1,0,0,9,0,8,0,0,1,6,17,1,5,1
348,30,1,1,9,9,2,8,2,2,1,7,22,10,2,1
349,34,1,8,8,9,0,8,0,2,2,7,22,10,2,1
350,27,2,8,8,9,0,8,0,2,2,7,22,10,2,1
351,24,1,0,0,9,0,8,0,3,1,7,22,10,2,1
352,24,2,8,8,9,0,8,0,4,2,7,22,10,2,1
353,58,1,0,0,9,0,8,0,4,1,7,20,1,2,1
354,17,2,0,0,9,0,8,0,4,1,2,21,10,2,1
355,17,2,8,8,9,0,8,0,3,2,2,21,10,2,1
356,23,1,0,0,9,0,8,0,3,1,2,11,1,1,1
357,23,2,8,8,9,0,8,0,4,2,2,11,1,1,1
358,23,1,9,9,9,2,8,2,4,1,2,21,1,2,1
359,37,1,0,0,9,2,8,2,4,1,3,11,10,1,1
360,28,1,8,8,9,0,8,0,3,2,3,11,10,1,1
361,37,1,0,0,9,2,8,2,3,1,3,11,10,1,1
362,56,1,9,9,9,2,8,2,4,1,4,0,1,3,1
363,45,1,0,0,9,2,8,2,1,1,4,0,1,3,1
364,40,2,0,1,9,2,8,2,3,1,4,9,10,1,1
365,50,2,0,0,9,0,8,0,3,1,4,9,10,1,1
366,998,2,8,8,9,0,8,0,3,2,4,9,10,1,1
367,76,1,8,8,9,0,8,0,4,2,4,9,10,1,1
368,35,1,9,9,9,2,8,2,4,1,4,6,1,4,1
369,39,2,8,8,9,2,8,2,4,1,5,18,1,1,1
370,39,1,1,9,9,2,8,2,4,1,7,22,1,2,1
371,51,1,9,9,9,2,8,2,4,1,7,23,1,2,1
372,41,1,0,0,9,2,8,2,4,1,1,17,1,1,1
373,57,1,9,9,9,2,8,2,4,1,3,23,10,2,1
374,19,1,9,9,9,0,8,0,4,1,5,19,1,1,1
375,999,9,8,8,9,0,8,0,0,1,5,19,1,1,1
376,999,9,8,8,9,0,8,0,0,2,5,19,1,1,1
377,25,1,9,9,9,0,8,0,4,5,6,23,1,2,1
378,31,1,9,9,9,2,8,2,0,1,6,23,1,2,1
379,62,1,0,0,9,2,8,2,4,1,6,16,2,1,1
380,17,1,0,0,9,2,8,2,4,1,7,5,10,2,1
381,24,1,0,0,9,2,8,2,0,1,7,14,10,1,1
382,50,1,0,0,9,0,8,0,4,1,7,14,10,1,1
383,51,2,8,8,9,0,8,0,4,2,7,14,10,1,1
384,16,1,8,8,9,0,8,0,3,2,7,14,10,1,1
385,27,1,9,9,9,2,8,2,4,1,1,1,10,2,1
386,26,1,8,8,9,0,8,0,3,2,1,1,10,2,1
387,22,1,0,0,9,0,8,0,4,1,4,17,1,1,1
388,28,1,9,9,9,2,8,2,4,5,4,22,1,2,1
389,26,1,9,9,9,2,8,2,4,5,4,22,1,2,1
390,45,2,0,0,9,0,8,0,0,1,4,22,1,2,1
391,33,1,9,9,9,2,8,2,4,1,5,0,1,2,1
392,51,1,8,8,9,0,8,0,4,1,4,20,10,2,1
393,46,1,9,9,9,2,8,2,3,1,1,6,1,1,1
394,67,1,0,0,9,0,8,0,4,1,1,6,1,1,1
395,64,2,8,8,9,0,8,0,3,2,1,6,1,1,1
396,53,1,9,9,9,0,8,0,4,1,4,23,1,2,1
397,63,1,0,0,1,2,8,0,0,1,4,23,1,2,1
398,41,1,0,0,9,0,8,0,4,1,5,5,2,2,1
399,32,1,9,9,9,2,8,2,3,1,5,11,1,1,1
400,49,1,0,0,9,2,8,2,4,3,5,11,1,1,1
401,16,2,8,8,9,2,8,2,4,3,5,11,1,1,1
402,77,1,0,0,9,0,8,0,3,5,6,6,1,1,1
403,21,2,0,0,9,2,8,2,4,1,6,6,1,1,1
404,48,1,0,0,9,0,8,0,0,1,6,6,1,1,1
405,20,2,0,0,9,0,8,0,4,1,7,5,1,4,1
406,43,1,1,0,9,2,8,2,4,1,6,1,10,3,1
407,34,1,1,9,9,2,8,2,4,5,7,5,1,3,1
408,999,9,9,9,9,0,8,0,0,1,7,5,1,3,1
409,40,1,9,9,9,0,8,0,4,5,2,2,10,2,1
410,999,9,9,9,9,0,8,0,0,1,2,2,10,2,1
411,58,1,1,8,9,0,8,0,4,5,2,20,1,3,1
412,71,2,0,0,9,0,8,0,0,1,2,20,1,3,1
413,19,2,0,0,9,0,8,0,0,1,2,20,1,3,1
414,37,1,9,0,9,0,8,0,4,1,7,23,1,3,1
415,17,1,8,8,9,0,8,0,4,2,7,23,1,3,1
416,22,1,0,0,9,2,8,2,3,1,7,23,1,3,1
417,21,1,8,8,9,0,8,0,3,2,7,23,1,3,1
418,19,1,0,0,9,2,8,2,4,1,1,19,1,2,1
419,17,1,8,8,9,0,8,0,0,2,1,19,1,2,1
420,25,1,0,1,9,0,8,2,4,1,2,11,1,1,1
421,19,1,0,0,9,0,8,0,3,1,2,11,1,1,1
422,82,1,0,0,9,0,8,0,4,1,3,20,10,2,1
423,25,1,0,0,9,0,8,0,3,1,3,20,10,2,1
424,51,1,9,9,9,0,8,0,4,1,4,12,1,1,1
425,50,1,8,8,9,0,8,0,3,2,4,12,1,1,1
426,28,1,9,9,9,0,8,0,0,1,4,10,1,1,1
427,27,1,0,0,9,0,8,0,3,1,4,10,1,1,1
428,27,2,8,8,9,0,8,0,3,2,4,10,1,1,1
429,5,2,8,8,9,0,8,0,4,2,4,10,1,1,1
430,3,2,8,8,9,0,8,0,2,2,4,10,1,1,1
